Test File Name,Command,Positive,Negative
suite_bucket1_remainder_player_settings.json,player.set_settings,Y,Y
suite_bucket1_remainder_player_settings.json,player.set_subscriptions,Y,Y
suite_bucket1_remainder_player_settings.json,player.set_topics,Y,Y
suite_bucket1_remainder_player_settings.json,player.set_trade_account_preference,Y,Y
suite_port_operations.json,port.describe,Y,Y
suite_bucket1_remainder_tavern_trade.json,port.info,Y,Y
suite_combat_advanced.json,port.rob,Y,Y
suite_port_operations.json,port.status,Y,Y
suite_movement_nav.json,sector.info,Y,N
NONE,sector.scan,N,N
suite_movement_nav.json,sector.scan.density,Y,N
NONE,sector.search,N,N
suite_movement_nav.json,sector.set_beacon,Y,Y
NONE,session.disconnect,N,N
suite_smoke.json,session.hello,Y,N
suite_auth_session.json,session.ping,Y,N
suite_bucket1_remainder_ship_stock_system.json,ship.claim,Y,Y
suite_bucket1_remainder_ship_stock_system.json,ship.info,Y,Y
suite_ship_operations.json,ship.inspect,Y,Y
suite_bucket1_remainder_ship_stock_system.json,ship.jettison,Y,Y
suite_ship_operations.json,ship.rename,Y,Y
suite_ship_repair.json,ship.repair,Y,Y
NONE,ship.reregister,Y,Y
suite_bucket1_remainder_ship_stock_system.json,ship.self_destruct,Y,Y
suite_player_status.json,ship.status,Y,Y
suite_bucket1_remainder_ship_stock_system.json,ship.transfer_cargo,Y,Y
suite_bucket1_remainder_ship_stock_system.json,ship.upgrade,Y,Y
suite_shipyard_and_ships.json,shipyard.list,Y,Y
suite_shipyard_and_ships.json,shipyard.upgrade,Y,Y
suite_economy_stocks.json,stock.buy,Y,Y
suite_bucket1_remainder_ship_stock_system.json,stock.dividend.set,Y,Y
suite_bucket1_remainder_ship_stock_system.json,stock.exchange.list_stocks,Y,Y
suite_bucket1_remainder_ship_stock_system.json,stock.exchange.orders.cancel,Y,Y
suite_bucket1_remainder_ship_stock_system.json,stock.exchange.orders.create,Y,Y
suite_economy_stocks.json,stock.ipo.register,Y,Y
suite_bucket1_remainder_ship_stock_system.json,stock.portfolio.list,Y,Y
NONE,subscribe.add,N,N
NONE,subscribe.catalog,N,N
NONE,subscribe.list,N,N
NONE,subscribe.remove,N,N
suite_sys_admin_boundaries.json,sys.notice.create,N,Y
suite_auth_session.json,system.capabilities,Y,N
suite_auth_session.json,system.cmd_list,Y,N
suite_bucket1_remainder_ship_stock_system.json,system.describe_schema,Y,Y
suite_bucket1_remainder_ship_stock_system.json,system.disconnect,Y,Y
suite_system_admin.json,system.hello,Y,N
suite_bucket1_remainder_ship_stock_system.json,system.schema_list,Y,Y
suite_tavern_extras.json,tavern.barcharts.get_prices_summary,Y,Y
suite_bucket1_remainder_tavern_trade.json,tavern.deadpool.place_bet,Y,Y
suite_tavern_economy.json,tavern.dice.play,Y,Y
suite_bucket1_remainder_tavern_trade.json,tavern.graffiti.post,Y,Y
suite_bucket1_remainder_tavern_trade.json,tavern.highstakes.play,Y,Y
suite_bucket1_remainder_tavern_trade.json,tavern.loan.pay,Y,Y
suite_economy_tavern_loan.json,tavern.loan.take,Y,Y
suite_bucket1_remainder_tavern_trade.json,tavern.lottery.buy_ticket,Y,Y
suite_bucket1_remainder_tavern_trade.json,tavern.lottery.status,Y,Y
suite_bucket1_remainder_tavern_trade.json,tavern.raffle.buy_ticket,Y,Y
suite_tavern_extras.json,tavern.round.buy,Y,Y
suite_bucket1_remainder_tavern_trade.json,tavern.rumour.get_hint,Y,Y
suite_bucket1_remainder_tavern_trade.json,tavern.trader.buy_password,Y,Y
suite_bucket1_remainder_tavern_trade.json,trade.accept,Y,Y
suite_trade_market.json,trade.buy,N,Y
suite_bucket1_remainder_tavern_trade.json,trade.cancel,Y,Y
suite_bucket1_remainder_tavern_trade.json,trade.history,Y,Y
suite_economy_misc.json,trade.jettison,Y,Y
suite_bucket1_remainder_tavern_trade.json,trade.offer,Y,Y
suite_bucket1_remainder_tavern_trade.json,trade.port_info,Y,Y
suite_economy_misc.json,trade.quote,Y,Y
suite_bucket1_remainder_tavern_trade.json,trade.sell,Y,Y
